summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
201079407,0950632,2013-08-24 15:00:00,,"Forklift Operator Is Ejected, Crushed and Killed by Forklift","INDUSTRIAL TRUCK,TRUCK DRIVER,DRIVER,SEAT BELT,EJECTED,CRUSHED,CHEST,ROPS,COLLISION",,,,,,2082,X,,,2016-02-08 01:00:05.963944
201129418,0950613,2012-09-25 16:00:00,,Carpenter's Finger Is Severed When Cabinet Slips Off Pry Bar,"CARPENTER,UNSTABLE LOAD,FALLING OBJECT,AMPUTATED,FINGER",,,,,,8741,,,,2016-02-08 01:00:05.963944
202713863,0352430,2013-04-16 10:55:00,,Employee Struck and Killed by Vehicle While Landscaping,"HEALTH CARE FACILITY,STRUCK BY,AUTOMOBILE",,,,,,0782,X,,,2016-02-08 01:00:05.963944
201079746,0950632,2013-08-02 11:00:00,,Employee Amputates Finger While Clearing Paper Jam,"FINGER,AMPUTATED,BLADE,GUARD,JAMMED",,,,,,2759,,,,2016-02-08 01:00:05.963944
202686903,0950633,2013-02-07 14:50:00,,Employee Injures Hip in Trip and Fall on Cord from a Printer,"WALKING SURFACE,TRIPPED,CORD CONNECTOR,PRINTING,MACHINE--MISC,FALL,FRACTURE,HIP",,,,,,9223,,,,2016-02-08 01:00:05.963944
201496593,0950625,2012-04-13 13:03:00,,Employee Seriously Injured Falling from Ladder,"FALL,LADDER,HEALTH CARE FACILITY,HEAD,FRACTURE,ROOF,PIPE",,,,,,8211,,,,2016-02-08 01:00:05.963944
202614442,1054191,2012-05-30 10:15:00,,Truck Driver Sustains Burns from Inhaled Chemicals,"TRUCK DRIVER,TANK TRUCK,DOCK WORKER,SODIUM HYDROXIDE,SODIUM HYPOCHLORITE,CHLORINE,CHEMICAL REACTION,TOXIC FUMES,INHALATION,CHEMICAL BURN",,,,,,2026,,,,2016-02-08 01:00:05.963944
200645232,0627700,2012-01-20 23:40:00,,Employee Is Burned in Flash Fire,"TRIPPED,WELL,FLOOR OPENING,FIRE,BURN",,,,,,1381,,,,2016-02-08 01:00:05.963944
200645232,0627700,2012-01-20 23:40:00,,Employee Is Burned in Flash Fire,"TRIPPED,WELL,FLOOR OPENING,FIRE,BURN",,,,,,1381,,,,2016-02-08 01:00:05.963944
200645232,0627700,2012-01-20 23:40:00,,Employee Is Burned in Flash Fire,"TRIPPED,WELL,FLOOR OPENING,FIRE,BURN",,,,,,1381,,,,2016-02-08 01:00:05.963944
202554515,0950631,2012-03-08 08:16:00,,Employee Isinjured in Fall from Ladder,"PAINT,EXTENSION LADDER,ROOF,FALL,FRACTURE,ARM,CONCUSSION",A,2,,A,C,1521,,,,2016-02-08 01:00:05.963944
202492534,0950621,2011-08-20 11:39:00,,Employee Is Injured in Fall from Aerial Lift Basket,"FALL,AERIAL LIFT,LADDER,PAINT,EJECTED,UNSTABLE POSITION,FALL PROTECTION,LANYARD",B,,,B,B,1799,,,,2016-02-08 01:00:05.963944
202652319,0950633,2012-02-21 06:40:00,,Employee's Fingers Are Amputated by Meat Band Saw,"MACHINE OPERATOR,FOOD PREPARATION,SAW,BANDSAW,FINGER,AMPUTATED,GUARD",,,,,,5411,,,,2016-02-08 01:00:05.963944
202522843,0950624,2012-08-20 08:40:00,,Backhoe Operator Is Pinned Between Boom and Outrigger,"CONSTRUCTION,EQUIPMENT OPERATOR,BACKHOE,BACKHOE BOOM,OUTRIGGER,FOOT CONTROL,CAUGHT BETWEEN,PINNED,FRACTURE",I,,,A,B,1611,,,,2016-02-08 01:00:05.963944
202478152,0950636,2012-02-16 17:15:00,,Forklift Crushes Employee's Left Foot,"FOOT,ANKLE,INDUSTRIAL TRUCK,WAREHOUSE,POOR VISIBILITY",,,,,,4222,,,,2016-02-08 01:00:05.963944
202633814,0950633,2011-02-14 06:40:00,,Employee Is Injured in Fall from Ladder,"LADDER,FALL,ROOF,FRACTURE,WORK SURFACE",,,,,,8211,,,,2016-02-08 01:00:05.963944
202334546,0253420,2012-08-22 12:43:00,,Employee Crushed by Equipment,"HYDRAULIC FLUID,INADEQUATE MAINT,RESTRAINING DEVICE,CRUSHED,MAINTENANCE,LOCKOUT",,,,,,8744,X,,,2016-02-08 01:00:05.963944
200926467,0355124,2012-11-20 21:25:00,,Worker Dies from Cardiac Arrest,"CARDIAC ARREST,LIGHTING,ELECTRIC SIGN,METHYLENE CHLORIDE",,,,,,3993,X,,,2016-02-08 01:00:05.963944
202509410,0950622,2012-04-05 18:00:00,,Employee Receives Injuries in Fall from Ladder,"STORAGE AREA,STORAGE RACK,LADDER,STRUCK BY,FALLING OBJECT,STORAGE BIN,FALL,FRACTURE,HEAD,SPINE",,,,,,7311,,,,2016-02-08 01:00:05.963944
313169179,0950631,2011-02-08 14:26:00,,Employee Is Injured in Fall from Scaffold,"SCAFFOLD,FALL,FALL PROTECTION,CONSTRUCTION",A,2,6,B,A,1771,,,,2016-02-08 01:00:05.963944
200264273,0627100,2011-07-25 11:57:00,,Employee Is Overcome by Heat Exhaustion,"HEAT EXHAUSTION,FAINTED,UNCONSCIOUSNESS,DIZZINESS,LUMBER,CHAIN SAW,DIE",,,,,,2421,X,,,2016-02-08 01:00:05.963944
200922078,0355112,2011-05-01 14:50:00,,Employee Found Dead at Construction Site,"CONSTRUCTION,HEALTH CARE FACILITY",C,3,30,C,B,"1542,1721",X,,,2016-02-08 01:00:05.963944
200922078,0355112,2011-05-01 14:50:00,,Employee Found Dead at Construction Site,"CONSTRUCTION,HEALTH CARE FACILITY",C,3,30,C,B,"1542,1721",X,,,2016-02-08 01:00:05.963944
201129210,0950613,2012-03-23 19:29:00,,Employee Fractures Wrist and Pelvis in Fall Through Skylight,"FIREFIGHTER,TRAIN,ROOF,COVER,SKYLIGHT,FALL,FRACTURE,WRIST,PELVIS",,,,,,9224,,,,2016-02-08 01:00:05.963944
202317921,0950653,2011-02-01 14:00:00,,Welder Burns 18 Percent of Body When Clothing Ignites,"WELDER,PPE,SPARK,BURN,TORSO",,,,,,1499,,,,2016-02-08 01:00:05.963944
202531992,0950635,2013-05-01 14:40:00,,Worker Amputates Fingers in Hydraulic Press,"AMPUTATED,FINGER,HYDRAULIC PRESS,NIP POINT,CRUSHED,LOCKOUT,PRESS,PRESS OPERATOR,STAMPER",,,,,,3451,,,,2016-02-08 01:00:05.963944
200535508,0751910,2012-12-11 08:30:00,,Employee Is Crushed When Dozer Rolls over and Killed,"BULLDOZER,OVERTURN,STRUCK BY,CRUSHED",I,,3,B,A,1611,X,,,2016-02-08 01:00:05.963944
202477691,0950636,2011-06-30 07:45:00,,Employee's Shoulder Lacerated by Flying Object,"STRUCK BY,UNGUARDED,SHOULDER,LACERATION",,,,,,3648,,,,2016-02-08 01:00:05.963944
201204641,1054114,2011-03-09 08:45:00,,Employee Fractures Back When Mower Rolls Down Embankment,"ROLL-OVER,LAWN MOWER,FRACTURE,BACK,LOST CONTROL,BRAKE,EMBANKMENT",,,,,,7389,,,,2016-02-08 01:00:05.963944
202471413,0950643,2012-03-29 11:00:00,,Employee Amputates Finger in Glass Washing Machine,"AMPUTATED,FINGER,CAUGHT BY,WASHING MACHINE",,,,,,5812,,,,2016-02-08 01:00:05.963944
200264414,0627100,2012-03-28 10:00:00,,Employee Is Electrocuted When Replacing Utility Pole,"ELECTROCUTED,UTILITY POLE,REPAIR,POWER LINE WORKER,ELECTRIC SHOCK,TRUCK CRANE",O,,50,E,B,1623,X,,,2016-02-08 01:00:05.963944
202544276,0950641,2012-06-18 10:00:00,,Employee Is Injured in Fall from Rebar Cage,"EXCAVATION,REBAR,IRON,IRON WORKER,FALL,FRACTURE,LEG,BEAM,LOST BALANCE",H,,,G,A,1791,,,,2016-02-08 01:00:05.963944
200535292,0751910,2012-07-17 15:00:00,,Printing Machine Operator Amputates Fingers,"PRINTING,MACHINE--MISC,MACHINE OPERATOR,GLOVE,CAUGHT BY,NIP POINT,ROTATING PARTS,AMPUTATED,FINGER",,,,,,2759,,,,2016-02-08 01:00:05.963944
202491866,0950621,2011-03-30 07:10:00,,Employee's Foot Contacts Auger and Is Amputated,"CLEANING,CAUGHT BY,AUGER,AMPUTATED,FOOT",,,,,,0723,,,,2016-02-08 01:00:05.963944
201639945,1054111,2011-02-22 13:30:00,,Employee Suffers Multiple Fractures in Fall from Ladder,"SAWMILL,FALL,FIXED LADDER,FRACTURE,PELVIS,ANKLE,VERTEBRA,TRUCK DRIVER,WOOD CHIPS,MANUAL MAT HANDLING",,,,,,"4213,2421",,,,2016-02-08 01:00:05.963944
201639945,1054111,2011-02-22 13:30:00,,Employee Suffers Multiple Fractures in Fall from Ladder,"SAWMILL,FALL,FIXED LADDER,FRACTURE,PELVIS,ANKLE,VERTEBRA,TRUCK DRIVER,WOOD CHIPS,MANUAL MAT HANDLING",,,,,,"4213,2421",,,,2016-02-08 01:00:05.963944
202081261,0453730,2012-01-17 16:20:00,,Employee Is Injured in Fall from Tree,"TREE,TREE LIMB,TREE FELLING,TREE PRUNER,TREE TRIMMING,LIFELINE,LEG,WRIST,FRACTURE",,,,,,0783,,,,2016-02-08 01:00:05.963944
200556371,0625700,2011-03-08 16:00:00,,Electric Shock - Ground Fault in Electric Cord,"ELECTRICAL,ELECTROCUTED,ELECTRIC CORD,GROUND FAULT,ELEC INSULATION,E C",A,1,15,A,B,1741,X,,,2016-02-08 01:00:05.963944
202634135,0950633,2011-03-07 04:26:00,,Employee Fractures Back in Fall from Ladder,"FALL,LADDER,FRACTURE,BACK,UNSTABLE POSITION",,,,,,7349,,,,2016-02-08 01:00:05.963944
202652152,0950633,2012-01-06 15:00:00,,Employee Receives Burns When Electrical Panel Blows Off,"BONDING,BURN,EXPLOSION",,,,,,2095,,,,2016-02-08 01:00:05.963944
201186319,0950611,2012-03-07 01:05:00,,Employee Falls Off Ladder,"FALL,LADDER,FRACTURE,LEG,CONCRETE",C,8,45,B,A,1791,,,,2016-02-08 01:00:05.963944
202627592,0950633,2011-02-03 19:00:00,,Employee Using Cheater Bar to Tighten Router Bit Injures Eye,"EQUIPMENT OPERATOR,WOOD SHAPER,ROTATING PARTS,STUCK,PRY BAR,HAND TOOL,FLYING OBJECT,STRUCK BY,EYE,PPE",,,,,,2511,,,,2016-02-08 01:00:05.963944
202469912,0950643,2011-01-08 08:00:00,,Employee Suffers Laceration While Using Hand Tool,"PORTABLE POWER TOOL,LACERATION,GRINDER,MECH MALFUNCTION,HAND,KICK BACK,ARM,MAINTENANCE",,,,,,4931,,,,2016-02-08 01:00:05.963944
202637047,0551800,2012-12-22 13:15:00,,Employee Crushed in Accident,"CRUSHED,HEALTH CARE FACILITY",,,,,,3321,X,,,2016-02-08 01:00:05.963944
202570461,0452110,2013-07-09 14:00:00,,Employee Falls and Dies from Cardiovascular System Failure,"FALL,STRUCK AGAINST,HEAD,HEART ATTACK,CARDIOVASC DISEASE,CARDIOVASC SYSTEM,LADDER",,,,,,5411,X,,,2016-02-08 01:00:05.963944
200361038,0453710,2013-03-02 10:45:00,,"Employee Is Caught in Mulch Dying Machine, Later Dies","CAUGHT BY,LOCKOUT,LEG",,,,,,2491,,,,2016-02-08 01:00:05.963944
201128147,0950613,2011-04-20 08:15:00,,Employee's Fingers Are Amputated by Lawn Mower,"LAWN MOWER,FINGER,AMPUTATED,FRACTURE,CONTUSION,DEADMAN CONTROL,INTERLOCK,FLYING OBJECT",,,,,,2752,,,,2016-02-08 01:00:05.963944
201496239,0950625,2011-09-21 15:00:00,,Employee Gets a Hand Injury with a Stump Cutter,"HAND,GRINDER,WHEEL,AMPUTATED,FINGER",,,,,,0783,,,,2016-02-08 01:00:05.963944
200922177,0355111,2012-02-09 09:30:00,,Employee Is Crushed and Killed by Falling Grapple,"STRUCK BY,CRUSHED,FALLING OBJECT,WHEEL LOADER,HYDRAULIC FLUID,HYDRAULIC LINE,MECH MALFUNCTION",,,,,,2411,X,,,2016-02-08 01:00:05.963944
202674644,0950621,2013-01-23 13:10:00,,Employee Injures Arm in Trip and Fall on to Moving Belt,"MACHINE OPERATOR,MACHINIST,BELT,PULLEY,TRIPPED,FALL,FRACTURE,ARM",,,,,,7363,,,,2016-02-08 01:00:05.963944
201495157,0950625,2011-02-23 07:30:00,,Employee Is Injured by Electrical Shock,"AERIAL LIFT,ELECTRIC SHOCK,ELECTRICAL,ELECTRIC GENERATOR,ELECTRIC ARC,PPE",C,4,10,F,B,1731,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
200053908,0728900,2011-03-02 14:30:00,,Chlorine Leak Affects Eight and Sends Seven to the Hospital,"AGRICULTURE,MILL--PLANT,PIPE,LEAK,CHLORINE,CHEMICAL VAPOR,TOXIC FUMES,PROCESS SAFETY,INHALATION,EMERGENCY RESPONSE",,,,,,2041,,,,2016-02-08 01:00:05.963944
202493797,0950621,2012-09-06 18:45:00,,Employee Injured Finger in Machine Accident,"AMPUTATED,FINGER,STRUCK BY,HEALTH CARE FACILITY,DRUM",,,,,,2095,,,,2016-02-08 01:00:05.963944
202369526,1055350,2013-01-11 17:00:00,,Employee Is Killed in Motor Vehicle Collision,"STRUCK BY,VEHICLE,COLLISION",,,,,,0214,X,,,2016-02-08 01:00:05.963944
200922136,0355111,2011-06-15 08:00:00,,Employee Is Killed When Run over by Forklift,"RUN OVER,INDUSTRIAL TRUCK,HEAD,FLATBED TRUCK,PALLET,WAREHOUSE,VEHICLE",,,,,,5211,X,,,2016-02-08 01:00:05.963944
202634879,0950612,2011-09-28 10:30:00,,Tree Trimmer Dies in Fall from Lift Bucket,"AERIAL LIFT,FALL,TREE TRIMMING,FALL PROTECTION,UNSECURED,TREE",,,,,,0783,X,,,2016-02-08 01:00:05.963944
202613774,1054191,2011-05-12 16:20:00,,Power Loss at Titanium-Alloy Plant; No Injury Occurred,"ELECTRICIAN,REPAIR,ELECTRICAL",,,,,,3324,,,,2016-02-08 01:00:05.963944
202081394,0453730,2012-04-19 09:30:00,,Employee Falls from Garage Roof and Dies,"ROOF,CONSTRUCTION,FALL,CONCUSSION,PPE,WORK RULES",A,2,27,A,C,1761,X,,,2016-02-08 01:00:05.963944
201185964,0950611,2011-08-31 07:58:00,,Four Employees Are Injured When Roof Deck Collapses,"CARPENTER,CONCRETE FORM WORK,HYDRAULIC LIFT,SUPPORT POSTS,OVERLOADED",B,6,66,F,A,1542,,,,2016-02-08 01:00:05.963944
201185964,0950611,2011-08-31 07:58:00,,Four Employees Are Injured When Roof Deck Collapses,"CARPENTER,CONCRETE FORM WORK,HYDRAULIC LIFT,SUPPORT POSTS,OVERLOADED",B,6,66,F,A,1542,,,,2016-02-08 01:00:05.963944
201185964,0950611,2011-08-31 07:58:00,,Four Employees Are Injured When Roof Deck Collapses,"CARPENTER,CONCRETE FORM WORK,HYDRAULIC LIFT,SUPPORT POSTS,OVERLOADED",B,6,66,F,A,1542,,,,2016-02-08 01:00:05.963944
202531901,0950635,2013-03-05 16:00:00,,Employee Is Injured When Hit in Eye with Nail,"PUNCTURE,EYE,NAIL,STRUCK BY,HAND TOOL,FLYING OBJECT",A,1,6,A,A,1751,,,,2016-02-08 01:00:05.963944
201694692,0950662,2013-02-04 18:00:00,,Employee Is Injured in Fall from Rail Container,"RAILROAD CAR,FALL,LOST BALANCE,CONTUSION,HEAD,TRAIN,CONCUSSION",,,,,,4491,,,,2016-02-08 01:00:05.963944
202478939,0950644,2012-06-22 07:00:00,,Worker Amputates Fingertip While Restarting Machine,"MECH MAT HANDLING,MACHINE OPERATOR,NIP POINT,CAUGHT BETWEEN,BELT,PULLEY,UNGUARDED,LOCKOUT,AMPUTATED,FINGER",,,,,,7363,,,,2016-02-08 01:00:05.963944
200534204,0751910,2011-04-19 10:30:00,,Employee Is Injured When Struck by Falling I-Beam,"STRUCK BY,LEG,FALLING OBJECT,STEEL BEAM,CONSTRUCTION,UNSECURED,UNSTABLE POSITION,KNEE",,,,,,3531,,,,2016-02-08 01:00:05.963944
202458030,0950647,2013-02-13 12:00:00,,Employee Fractures Vertebrae in Fall from Concrete Mixer,"CONCRETE MIXER,CLEANING,ELEVATED WORK PLAT,FALL PROTECTION,LOST BALANCE,FALL,FRACTURE,VERTEBRA,FOOT",,,,,,3273,,,,2016-02-08 01:00:05.963944
202588331,0950614,2013-04-03 12:50:00,,Disintegrating Grinding Wheel Lacerates Worker's Finger,"METAL SHOP,MACHINIST,GRINDER,MECH MAT HANDLING,GRINDING WHEEL,EQUIPMENT FAILURE,DISINTEGRATED,UNGUARDED,LACERATION,FINGER",,,,,,5051,,,,2016-02-08 01:00:05.963944
201392412,0552652,2010-12-31 17:35:00,,Owner Falls from Ladder and Dies,"FALL,LADDER,EXTENSION LADDER,SLIPPERY SURFACE,WATER,UNCONSCIOUSNESS",,,,,,2051,X,,,2016-02-08 01:00:05.963944
201076403,0950632,2011-02-04 13:45:00,,Employee's Arm Is Crushed in Press,"PRESS,PRESS OPERATOR,DIE,INTERLOCK,LOCKOUT,ARM,FINGER,HAND,CRUSHED,AMPUTATED",,,,,,3999,,,,2016-02-08 01:00:05.963944
202648010,0950633,2011-08-31 10:57:00,,Employee Sustains Electrical Burns,"ELECTRIC SHOCK,BURN,ELEC UTILITY WORK",H,,3,A,E,1731,,,,2016-02-08 01:00:05.963944
202614053,1054111,2011-10-13 06:45:00,,Employee Lacerates Fingers When Machine Cycles,"PRESS BRAKE,PRESS OPERATOR,LACERATION,FINGER,STRUCK BY,STUCK,CAUGHT BETWEEN,PUNCTURE,AMPUTATED,NIP POINT",,,,,,3993,,,,2016-02-08 01:00:05.963944
201623204,1054116,2011-06-25 09:30:00,,Employee Sustains Consussion When Struck by Wood,"LOGGING,STRUCK BY,FALLING OBJECT,HEAD,TREE SECTION,CONCUSSION,TORSO",,,,,,2411,,,,2016-02-08 01:00:05.963944
202674529,0950621,2012-09-27 07:00:00,,Landscaper's Toes Are Amputated by Lawn Mower,"LAWN MOWER,LOST BALANCE,LOST CONTROL,HAND CONTROL,ROTATING PARTS,BLADE,CAUGHT BY,AMPUTATED,TOE,EMERGENCY RESPONSE",,,,,,0782,,,,2016-02-08 01:00:05.963944
202477626,0950636,2011-08-03 23:00:00,,Employee's Arm Is Injured When Caught in Conveyer,"FOOD PREPARATION,CONVEYOR,CAUGHT BY,ARM,HAND,CRUSHED,CHAIN,LOCKOUT,EXTENSION HANDLE,JAMMED",,,,,,2011,,,,2016-02-08 01:00:05.963944
201703592,1054115,2012-09-22 13:00:00,,Employee's Ankle Is Struck by Beam and Is Fractured,"STRUCK BY,STEEL BEAM,FRACTURE,ANKLE,OVERTURN",C,2,,G,A,1791,,,,2016-02-08 01:00:05.963944
202555009,0950631,2012-07-30 14:00:00,,Construction Worker Falls from Ladder and Injures Ankle,"CONSTRUCTION,FALL,LADDER,SPRAIN,ANKLE,FRACTURE",I,,2,B,B,1542,,,,2016-02-08 01:00:05.963944
202493920,0950621,2013-01-25 11:08:00,,Employee Sustains Head/other Fractures after Hit by Vehicle,"HIGHWAY,FRACTURE,LEG,EYE,SKULL,SHOULDER,PELVIS,SPINE,VEHICLE IN GEAR,STRUCK BY",I,,,A,C,1611,,,,2016-02-08 01:00:05.963944
202656773,0950643,2012-07-31 13:00:00,,Employee Fractures Skull While Stripping Floor Wax,"JANITOR,SLIP,FRACTURE,SKULL,FALL,STRIPPING MACHINE",,,,,,8211,,,,2016-02-08 01:00:05.963944
202648093,0950633,2011-09-06 23:00:00,,Employee Is Injured in Fall on Wet Area,"EQUIPMENT OPERATOR,SLIPPERY SURFACE,CONSTRUCTION,FRACTURE,LEG,KNEE",B,3,44,E,A,1781,,,,2016-02-08 01:00:05.963944
201392552,0552652,2011-11-16 09:00:00,,Employee Collapses While at Work,"COLLAPSE,HEART ATTACK,HEART",,,,,,2038,X,,,2016-02-08 01:00:05.963944
202492617,0950621,2012-02-04 03:00:00,,Employee's Finger Is Amputated after Contacting Grinder,"GRINDER,GRINDING WHEEL,FINGER,AMPUTATED,ROTATING PARTS,SAWMILL,CONVEYOR,CHAIN",,,,,,2421,,,,2016-02-08 01:00:05.963944
202531141,0950635,2012-07-22 02:30:00,,Two Highway Workers Are Struck and Killed,"CONSTRUCTION,HIGHWAY,STRUCK BY,MOTOR VEHICLE,TRAFFIC ACCIDENT",I,,,B,C,1611,X,,,2016-02-08 01:00:05.963944
202531141,0950635,2012-07-22 02:30:00,,Two Highway Workers Are Struck and Killed,"CONSTRUCTION,HIGHWAY,STRUCK BY,MOTOR VEHICLE,TRAFFIC ACCIDENT",I,,,B,C,1611,X,,,2016-02-08 01:00:05.963944
201076221,0950632,2011-01-14 10:30:00,,Service Tech Is Injured in Fall from Ladder,"FALL,LADDER,UNSTABLE POSITION,FRACTURE,VERTEBRA,BACK,COMMUNICATION CABLE,COMMUNICATION WORKER",,,,,,7363,,,,2016-02-08 01:00:05.963944
202634374,0950633,2011-07-07 08:30:00,,School Custodian Sustains Heat Exhaustion,"HEAT,HEAT EXHAUSTION,MANUAL MAT HANDLING,DIZZINESS",,,,,,8211,,,,2016-02-08 01:00:05.963944
202509519,0950622,2012-06-28 15:15:00,,Employee Fractures Feet in Fall During Home Construction,"FALL,FRACTURE,FOOT,CONSTRUCTION,CARPENTER,DECKING",A,2,30,G,A,1522,,,,2016-02-08 01:00:05.963944
202648044,0950633,2011-08-03 11:15:00,,Employee's Finger Is Amputated after Caught in Sander,"CAUGHT BY,GRINDER,GRINDING MACHINE,SHARPENING MACHINE,HAND TOOL,FINGER,AMPUTATED,MACHINE OPERATOR",,,,,,5084,,,,2016-02-08 01:00:05.963944
